district_id,district_name,keyword,category_id,reason
zhihui_fang,智慧坊,创意园,compound_space,超出 tier 关键词上限
zhihui_fang,智慧坊,复合空间,compound_space,超出 tier 关键词上限
zhihui_fang,智慧坊,创意园,compound_space,超出 tier 关键词上限
zhihui_fang,智慧坊,复合空间,compound_space,超出 tier 关键词上限
yangpu_binjiang,杨浦滨江,创意园,compound_space,超出 tier 关键词上限
yangpu_binjiang,杨浦滨江,复合空间,compound_space,超出 tier 关键词上限
yangpu_binjiang,杨浦滨江,创意园,compound_space,超出 tier 关键词上限
yangpu_binjiang,杨浦滨江,复合空间,compound_space,超出 tier 关键词上限
dingxi_road,定西路,工作室,lifestyle,超出 tier 关键词上限
dingxi_road,定西路,创意园,compound_space,超出 tier 关键词上限
dingxi_road,定西路,复合空间,compound_space,超出 tier 关键词上限
